Name,Address,Phone,Waze Link,Latitude,Longitude,Services
McDonald's Shell Jalan Cheras DT,"Lot PT 7430, HSD 111856, KM5.5, Jalan Cheras, 56000, Cheras, Kuala Lumpur, Malaysia",03-91342127,https://www.mcdonalds.com.my/locate-us,3.1,101.73,"24 Hours, Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, Digital Order Kiosk"
McDonald's Petronas MRR2 Kepong DT,"Lot 25747, Lebuh Raya Selayang, Kepong Lebuh Raya, Lingkaran Tengah 2 (MRR 2), 52100, Kepong, Kuala Lumpur, Malaysia",03-62596498,https://www.mcdonalds.com.my/locate-us,3.23,101.66,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's M2 Mall,"Lot 1, Level1, BUSANA, Menara MARA, No. 232, Jalan Tuanku Abdul Rahman, 50100, Kuala Lumpur , Malaysia",03-22028034,https://www.mcdonalds.com.my/locate-us,3.16,101.7,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McDelivery, WiFi, Digital Order Kiosk"
McDonald's TTDI (Taman Tun Dr Ismail),"No. 2, 2A &amp; B, Jalan Tun Mohd Fuad 2, Taman Tun Dr Ismail, 60000, Kuala Lumpur, Malaysia",03-77310984,https://www.mcdonalds.com.my/locate-us,3.14,101.63,"Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's BHP Taman Melawati DT,"Lot PT 8669, Jalan Lingkaran Tengah II, 53100, Kuala Lumpur, Malaysia",03-41621453,https://www.mcdonalds.com.my/locate-us,3.22,101.74,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's NU Sentral,"Unit No. L4. 02 &amp; 03, Level 4, 1 Sentral, Jalan Travers, 50470, Kuala Lumpur, Malaysia",03-22760042,https://www.mcdonalds.com.my/locate-us,3.13,101.69,"Birthday Party, Cashless Facility, Dessert Center, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Sri Petaling,"No 63 &amp; 63-1, Jalan Radin Tengah, Bandar Baru Sri Petaling, 57000, Kuala Lumpur, Malaysia",03-90540493,https://www.mcdonalds.com.my/locate-us,3.07,101.69,"24 Hours, Birthday Party, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Mid Valley 3,"Tingkat 3, Mid Valley Megamall, Lingkaran Syed Putra, 59200, Kuala Lumpur, Malaysia",03-22010506,https://www.mcdonalds.com.my/locate-us,3.12,101.68,"Birthday Party, Cashless Facility, Dessert Center, McCafe, Digital Order Kiosk"
McDonald's KL Sentral,"Lot 14, 15, &amp; 16, First Floor, Kuala Lumpur Sentral Station, 50470, Kuala Lumpur, Malaysia",03-22722431,https://www.mcdonalds.com.my/locate-us,3.13,101.69,"Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, Digital Order Kiosk"
McDonald's Suria KLCC,"Lot C35 - 38, Concourse Floor, Suria KLCC Shopping Centre, Jalan Ampang, 50088, Kuala Lumpur, Malaysia",03-27151512,https://www.mcdonalds.com.my/locate-us,3.16,101.71,"Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, Digital Order Kiosk"
McDonald's MyTown Mall,"Lot No. B1-03 &amp; B1-E-03, MyTown Shopping Centre, No. 6, Jalan Cohcrane, Section 90, 55100, Kuala Lumpur, Malaysia",03-27322567,https://www.mcdonalds.com.my/locate-us,3.13,101.72,"Birthday Party, Cashless Facility, Dessert Center, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Sunway Velocity Mall,"LG, Sunway Velocity Mall, Jalan Peel, 55100, Kuala Lumpur, Malaysia",03-27320717,https://www.mcdonalds.com.my/locate-us,3.13,101.72,"Birthday Party, Cashless Facility, Dessert Center, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Intermark Mall,"Lot No. G17, G17A &amp; G17B, Ground Floor, Intermark Mall, 348, Jalan Tun Razak, 50400, Kuala Lumpur, Malaysia",03-27155667,https://www.mcdonalds.com.my/locate-us,3.16,101.72,"Birthday Party, Breakfast, Cashless Facility, Dessert Center, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Danau Kota DT,"Part of Lot 201138, Jalan Langkawi, Mukim Setapak, Taman Danau Kota, 53300 Kuala Lumpur.",03-41310897,https://www.mcdonalds.com.my/locate-us,3.21,101.72,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Desa Park City DT,"Lot GF32 &amp; FF31, Waterfront Parkcity, Persiaran Residen, Desapark City, 52200 Kuala Lumpur.",03-62611632,https://www.mcdonalds.com.my/locate-us,3.19,101.63,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, Digital Order Kiosk"
McDonald's Pearl Point DT,"Lot No G-08, Ground Floor, Pearl Point Shopping Complex, 5th Mile, Old Klang Road, 58000 Kuala Lumpur",03-79712465,https://www.mcdonalds.com.my/locate-us,3.08,101.67,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Jalan P. Ramlee,"Lot G-W-1, Ground Floor, West Wing, Rohas Pure Circle, No 9, Jalan P Ramlee, 50450 Kuala Lumpur",03-21815851,https://www.mcdonalds.com.my/locate-us,3.15,101.71,"24 Hours, Birthday Party, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's BHP Jalan Kepong,"Lot PT 1, Batu 6 1/2, Jalan Kepong, 52000 Kuala Lumpur",03-62500090,https://www.mcdonalds.com.my/locate-us,3.21,101.65,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Shell Jalan Sentul DT,"PT 8938, Jalan Sentul/Batu Caves, Mukim Setapak, Sentul, 51100 Kuala Lumpur",016-2127692,https://www.mcdonalds.com.my/locate-us,3.12,101.41,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Wisma Lim Foo Yong,"Wisma Lim Foo Yong, Lot No. 62, Seksyen 57, Jalan Raja Chulan, 50250 Kuala Lumpur.",03-21102479,https://www.mcdonalds.com.my/locate-us,3.09,101.42,"24 Hours, Birthday Party, Breakfast, Cashless Facility, WiFi, Digital Order Kiosk"
McDonald's Sentul UOA DT,"LOT PT 10098, Jalan Sentul Pasar, Mukim Setapak Dalam, Bandaraya Kuala Lumpur 51000 Kuala Lumpur",03-27029214,https://www.mcdonalds.com.my/locate-us,3.2,101.69,"Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Shell Tasik Ampang DT,"Lot PT 2536, Lebuh Raya Lingkaran Tengah 2, Mukim Ampang, 55000 Kuala Lumpur",03-92013561,https://www.mcdonalds.com.my/locate-us,3.15,101.75,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Shell Bukit Bintang DT,"225, Bukit Bintang St, Imbi, 55100 Kuala Lumpur, Federal Territory Of Kuala Lumpur",03-21101876,https://www.mcdonalds.com.my/locate-us,3.15,101.72,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Shell Jalan Kuching DT,"Lot 58043, Jalan Kuching, Mukim Batu 68100, Wlayah Persekutuan Kuala Lumpur",,https://www.mcdonalds.com.my/locate-us,3.22,101.67,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Shell Wangsa Maju DT,"Lot 28332, Jalan 8/27A, Pusat Bandar Wangsa Maju, 53300 Kuala Lumpur",03-41315949,https://www.mcdonalds.com.my/locate-us,3.2,101.74,"Drive-Thru, Breakfast, Cashless Facility, WiFi, Digital Order Kiosk"
McDonald's Jalan Tun Razak DT,"No 9, Jalan Fletcher, 50400 Kuala Lumpur",03-26022147,https://www.mcdonalds.com.my/locate-us,3.17,101.71,"Drive-Thru, Breakfast, Cashless Facility, WiFi, Digital Order Kiosk"
McDonald's Petron North Kiara DT,"452, Jalan Segambut, Kampung Segambut Tengah, 1200 Kuala Lumpur",03-62423593,https://www.mcdonalds.com.my/locate-us,3.18,101.65,"24 Hours, Drive-Thru, Breakfast, Cashless Facility, WiFi, Digital Order Kiosk"
McDonald's Pantai Sentral Park DT,"No. 2, Jalan Pantai Sentral 1, Pantai Sentral, 59200, Wilayah Persekutuan Kuala Lumpur.",03-22411097,https://www.mcdonalds.com.my/locate-us,3.1,101.67,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's BHP Genting Klang DT,"5241 &amp; 5242, 295, Jalan Genting Kelang, Perusahaan PKNS, 53200 Kuala Lumpur.",,https://www.mcdonalds.com.my/locate-us,3.2,101.71,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Giant Ulu Kelang,"SG03 &amp; SG04, Giant Ulu Kelang, Lot 13793 &amp; 13796 Jalan Changkat Permata, 53300 Kuala Lumpur.",03-41085134,https://www.mcdonalds.com.my/locate-us,3.21,101.75,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
McDonald's Titiwangsa DT,"Lot 8, Section 85, Jalan Pahang, 53000, Setapak, Kuala Lumpur, Malaysia.",03-40311346,https://www.mcdonalds.com.my/locate-us,3.18,101.7,"Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk, Surau"
McDonald's KLIA Anjung,"VD-5-L01, Viewing Gallery, Level 5, Main Terminal Building, Kuala Lumpur International Airport, 64000 Selangor",,https://www.mcdonalds.com.my/locate-us,2.73,101.71,"24 Hours, Birthday Party, Drive-Thru, Breakfast, Cashless Facility, McCafe, McDelivery, WiFi, Digital Order Kiosk"
McDonald's Shell Taman Desa DT,"1 Jln 3/109E, Desa Business Park, Taman Desa, 58100 Kuala Lumpur",03-79720127,https://www.mcdonalds.com.my/locate-us,3.1,101.69,"Drive-Thru, Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk, Surau"
McDonald's Desa Petaling SF,"1-3, Pusat Perdagangan Salak II, Jalan 2/125, Taman Desa Petaling, 57100 Kuala Lumpur",,https://www.mcdonalds.com.my/locate-us,3.08,101.7,"Breakfast, Cashless Facility, McCafe, WiFi, Digital Order Kiosk"
